tipo_celular,module_size,PLGRKT_MM,PLGRKT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,18,5.1,1.68 (1.31-2.06),335,94.9,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,400.0,0.116,9.0,24,1,4.17,1.96 (NA-NA),23,95.83,2.16 (1.63-2.70)
GLU like neurons 17,489.0,0.142,53.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,94.0,0.182,41.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.521,98.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.074,6.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,22,7.97,1.85 (1.49-2.21),254,92.03,3.74 (3.52-3.96)
oligodendrocytes 10,2107.0,0.139,47.0,358,26,7.26,1.75 (1.43-2.08),332,92.74,4.09 (3.90-4.28)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.218,64.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.268,27.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.157,57.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.093,47.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,1630.0,0.095,2.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
