tipo_celular,module_size,LONRF2_MM,LONRF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.098,12.0,166,10,6.02,2.51 (1.48-3.53),156,93.98,3.42 (3.17-3.68)
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,11,3.12,2.41 (1.56-3.27),342,96.88,3.92 (3.73-4.11)
GABA neurons expressing GLU receptors 22,703.0,0.149,29.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,1316.0,0.198,93.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,120.0,0.213,36.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.148,40.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.235,60.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.06,2.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,520.0,0.116,50.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.161,100.0,276,9,3.26,2.06 (0.95-3.17),267,96.74,3.57 (3.35-3.79)
oligodendrocytes 10,806.0,0.291,78.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.124,33.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71)
oligodendrocytes 16,313.0,0.172,29.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,553.0,0.197,84.0,124,4,3.23,2.68 (NA-NA),120,96.77,4.20 (3.80-4.60)
astrocytes microglia 23,86.0,0.302,42.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,721.0,0.163,74.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,187.0,0.178,56.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.084,43.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.137,40.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
