tipo_celular,module_size,LRRTM3_MM,LRRTM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.165,70.0,219,15,6.85,5.88 (4.69-7.08),204,93.15,5.15 (4.85-5.44)
GABA neurons expressing GLU receptors 22,703.0,0.268,90.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,489.0,0.188,75.0,42,3,7.14,4.80 (4.21-5.39),39,92.86,6.12 (5.53-6.72)
da like neurons 11,172.0,0.338,81.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,288.0,0.182,56.0,93,16,17.2,3.93 (2.78-5.09),77,82.8,5.50 (4.99-6.01)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.284,73.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.195,45.0,306,26,8.5,4.24 (3.26-5.22),280,91.5,5.21 (4.95-5.48)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.271,68.0,103,4,3.88,6.40 (3.77-9.03),99,96.12,5.50 (5.12-5.89)
oligodendrocytes 10,1277.0,0.166,79.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,84.0,0.276,66.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.202,44.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.291,91.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.198,98.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.21,33.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25)
