tipo_celular,module_size,USP28_MM,USP28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.257,84.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,1656.0,0.11,41.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,45,12.75,2.34 (1.95-2.73),308,87.25,4.16 (3.98-4.35)
GABA neurons expressing GLU receptors 22,487.0,0.161,25.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316.0,0.096,25.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42)
da like neurons 11,71.0,0.083,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.046,14.0,18,12,66.67,1.30 (0.68-1.91),6,33.33,3.03 (1.82-4.25)
GABA like neurons 14,2090.0,0.095,11.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,771.0,0.014,0.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.043,10.0,276,34,12.32,2.69 (2.23-3.14),242,87.68,3.70 (3.46-3.93)
oligodendrocytes 10,2107.0,0.079,17.0,358,54,15.08,2.48 (2.06-2.89),304,84.92,4.17 (3.98-4.37)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.044,22.0,54,1,1.85,3.70 (NA-NA),53,98.15,3.68 (3.23-4.13)
oligodendrocytes 16,155.0,0.317,91.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.397,89.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.144,50.0,104,26,25.0,2.24 (1.78-2.70),78,75.0,3.08 (2.75-3.41)
oligodendrocytes 0,2078.0,0.104,30.0,238,14,5.88,3.57 (2.58-4.56),224,94.12,3.64 (3.41-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.064,15.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.16,85.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
