tipo_celular,module_size,THSD7A_MM,THSD7A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.157,82.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,436.0,0.206,85.0,219,1,0.46,5.39 (NA-NA),218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,599.0,0.134,14.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.106,33.0,135,2,1.48,0.92 (0.19-1.65),133,98.52,3.23 (2.92-3.54)
da like neurons 11,140.0,0.37,94.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.164,50.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,658.0,0.374,90.0,120,4,3.33,4.04 (2.33-5.76),116,96.67,4.63 (4.31-4.95)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.234,63.0,306,10,3.27,2.77 (1.62-3.91),296,96.73,5.21 (4.95-5.47)
astrocytes 8,283.0,0.325,99.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.441,91.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.116,76.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.117,57.0,122,5,4.1,1.38 (0.77-2.00),117,95.9,4.14 (3.74-4.53)
astrocytes microglia 23,190.0,0.361,94.0,7,1,14.29,5.39 (NA-NA),6,85.71,4.73 (3.43-6.03)
astrocytes 4,752.0,0.186,93.0,96,1,1.04,4.57 (NA-NA),95,98.96,3.27 (2.94-3.61)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
