tipo_celular,module_size,MINPP1_MM,MINPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,15,4.25,1.22 (0.75-1.68),338,95.75,4.05 (3.87-4.22)
GABA neurons expressing GLU receptors 22,823.0,0.168,44.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,172.0,0.165,29.0,8,3,37.5,NA,5,62.5,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.075,4.0,455,21,4.62,1.91 (1.22-2.60),434,95.38,4.47 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,13,4.71,2.33 (1.73-2.93),263,95.29,3.61 (3.38-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.317,68.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
