tipo_celular,module_size,RPS2_MM,RPS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.272,57.0,98,33,33.67,2.68 (2.17-3.19),65,66.33,3.50 (2.84-4.16)
T cells 18,506.0,0.552,96.0,225,36,16.0,2.80 (2.33-3.28),189,84.0,3.78 (3.50-4.06)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.259,86.0,108,10,9.26,3.63 (3.10-4.16),98,90.74,3.21 (2.72-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.244,84.0,135,46,34.07,2.32 (1.93-2.70),89,65.93,3.63 (3.24-4.01)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,65.0,0.14,36.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,916.0,0.535,94.0,302,16,5.3,3.36 (2.67-4.05),286,94.7,4.02 (3.79-4.26)
oligodendrocytes 20,938.0,0.303,95.0,169,33,19.53,3.56 (2.98-4.15),136,80.47,3.46 (3.23-3.70)
GABA like neurons 14,2402.0,0.504,89.0,455,53,11.65,2.72 (2.23-3.21),402,88.35,4.60 (4.42-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.375,95.0,235,22,9.36,3.68 (3.12-4.25),213,90.64,3.84 (3.59-4.09)
oligodendrocytes 10,483.0,0.569,100.0,129,17,13.18,3.77 (3.39-4.15),112,86.82,3.37 (2.92-3.82)
connective tissue cells 21,301.0,0.561,89.0,158,17,10.76,2.82 (2.17-3.48),141,89.24,4.51 (4.11-4.90)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.259,75.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,729.0,0.215,77.0,182,17,9.34,2.75 (2.11-3.38),165,90.66,3.74 (3.47-4.00)
astrocytes microglia 23,137.0,0.423,72.0,188,36,19.15,2.38 (1.94-2.82),152,80.85,5.01 (4.67-5.35)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.272,84.0,252,53,21.03,2.68 (2.19-3.16),199,78.97,4.51 (4.25-4.76)
microglia 1,406.0,0.575,97.0,278,8,2.88,3.74 (3.19-4.29),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.232,82.0,154,11,7.14,3.74 (3.22-4.25),143,92.86,3.61 (3.27-3.95)
oligodendrocytes 2,526.0,0.44,87.0,213,12,5.63,4.13 (3.50-4.76),201,94.37,3.97 (3.68-4.26)
