tipo_celular,module_size,COLGALT2_MM,COLGALT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.332,82.0,68,1,1.47,1.74 (NA-NA),67,98.53,4.42 (3.86-4.98)
astrocytes 5,165.0,0.114,13.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,18,5.1,1.49 (1.03-1.95),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,567.0,0.31,82.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.155,49.0,91,11,12.09,1.28 (0.39-2.16),80,87.91,5.18 (4.74-5.61)
da like neurons 11,408.0,0.416,86.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.468,76.0,110,1,0.91,1.74 (NA-NA),109,99.09,5.03 (4.59-5.48)
GABA like neurons 14,3052.0,0.14,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.3,81.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,218.0,0.211,44.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,236.0,0.625,85.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.086,45.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.398,77.0,105,3,2.86,2.94 (0.58-5.29),102,97.14,5.17 (4.72-5.62)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.309,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102.0,0.11,6.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261.0,0.199,61.0,42,2,4.76,1.74 (1.73-1.75),40,95.24,4.22 (3.51-4.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.235,57.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.108,3.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
