tipo_celular,module_size,COX7A2L_MM,COX7A2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.127,29.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506.0,0.089,7.0,225,22,9.78,2.76 (2.31-3.21),203,90.22,3.73 (3.46-4.00)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.09,3.0,251,9,3.59,2.77 (2.44-3.10),242,96.41,4.12 (3.88-4.37)
GABA neurons expressing GLU receptors 22,487.0,0.184,37.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19)
GLU like neurons 17,300.0,0.189,52.0,16,4,25.0,2.46 (2.14-2.78),12,75.0,1.93 (0.74-3.12)
da like neurons 11,1220.0,0.159,42.0,410,33,8.05,3.05 (2.73-3.37),377,91.95,4.37 (4.17-4.57)
GABA neurons expressing GABA receptors 13,417.0,0.136,31.0,213,48,22.54,2.44 (2.07-2.80),165,77.46,4.24 (3.98-4.50)
endothelial cells 9,916.0,0.136,27.0,302,27,8.94,2.89 (2.38-3.39),275,91.06,4.10 (3.86-4.34)
oligodendrocytes 20,938.0,0.137,56.0,169,21,12.43,2.91 (2.36-3.46),148,87.57,3.57 (3.33-3.81)
GABA like neurons 14,2402.0,0.377,77.0,455,42,9.23,2.55 (2.13-2.97),413,90.77,4.57 (4.38-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.067,31.0,235,19,8.09,3.34 (2.84-3.85),216,91.91,3.87 (3.62-4.12)
oligodendrocytes 10,806.0,0.192,61.0,261,21,8.05,2.97 (2.52-3.41),240,91.95,4.52 (4.26-4.77)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.17,28.0,291,12,4.12,2.93 (2.45-3.42),279,95.88,4.41 (4.18-4.64)
da neurons 6,729.0,0.226,82.0,182,15,8.24,3.17 (2.53-3.81),167,91.76,3.68 (3.41-3.95)
astrocytes microglia 23,42.0,0.392,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.107,36.0,238,3,1.26,1.65 (0.22-3.08),235,98.74,3.67 (3.45-3.89)
microglia 1,214.0,0.127,24.0,227,27,11.89,3.07 (2.69-3.46),200,88.11,4.26 (4.00-4.51)
oligodendrocytes 3,457.0,0.106,44.0,345,8,2.32,2.47 (1.83-3.11),337,97.68,4.33 (4.12-4.54)
oligodendrocytes 2,526.0,0.143,12.0,213,21,9.86,3.41 (2.98-3.85),192,90.14,4.04 (3.74-4.34)
