tipo_celular,module_size,DCLK2_MM,DCLK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.353,96.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,200.0,0.112,20.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,192.0,0.101,27.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1316.0,0.165,81.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,87.0,0.394,82.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.111,16.0,93,2,2.15,3.15 (0.39-5.92),91,97.85,5.20 (4.70-5.70)
endothelial cells 9,658.0,0.15,30.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,279.0,0.292,75.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01)
GABA like neurons 14,1300.0,0.219,56.0,306,5,1.63,2.04 (0.66-3.42),301,98.37,5.17 (4.91-5.43)
astrocytes 8,279.0,0.214,25.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,138.0,0.436,36.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,1277.0,0.074,26.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.239,37.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,418.0,0.063,36.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,65.0,0.22,65.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.095,17.0,138,3,2.17,2.45 (0.17-4.73),135,97.83,4.89 (4.52-5.25)
astrocytes microglia 23,141.0,0.436,98.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,161.0,0.259,79.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,309.0,0.123,37.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.281,91.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.206,56.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
