tipo_celular,module_size,GOLGA8A_MM,GOLGA8A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.138,30.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.13,14.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.116,50.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,628.0,0.102,8.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,823.0,0.205,67.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,300.0,0.257,90.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,204.0,0.141,32.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.018,2.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.185,71.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.061,36.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.109,51.0,32,9,28.12,1.21 (0.50-1.91),23,71.88,4.21 (3.36-5.06)
oligodendrocytes 10,2107.0,0.127,42.0,358,13,3.63,1.62 (0.77-2.47),345,96.37,3.98 (3.79-4.16)
connective tissue cells 21,145.0,0.252,25.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.09,53.0,105,6,5.71,1.88 (1.00-2.75),99,94.29,3.30 (2.96-3.65)
oligodendrocytes 16,199.0,0.147,30.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.275,22.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.189,97.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,309.0,0.226,92.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.071,4.0,161,10,6.21,1.23 (0.43-2.03),151,93.79,3.44 (3.18-3.70)
oligodendrocytes 3,357.0,0.076,34.0,127,1,0.79,6.89 (NA-NA),126,99.21,3.08 (2.76-3.41)
oligodendrocytes 2,1630.0,0.141,47.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
