tipo_celular,module_size,APCDD1_MM,APCDD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.145,46.0,28,4,14.29,2.60 (2.25-2.95),24,85.71,5.82 (5.42-6.23)
oligodendrocyte progenitor cells 7,436.0,0.154,66.0,219,4,1.83,3.27 (2.17-4.37),215,98.17,5.27 (4.98-5.56)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.1,12.0,120,18,15.0,3.10 (2.67-3.53),102,85.0,4.92 (4.58-5.25)
oligodendrocytes 20,298.0,0.047,14.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,140.0,0.181,69.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,254.0,0.256,42.0,37,12,32.43,3.34 (2.66-4.02),25,67.57,5.23 (4.56-5.89)
oligodendrocytes 10,1277.0,0.097,43.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.206,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.17,66.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,121.0,0.26,81.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.327,57.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,752.0,0.155,52.0,96,2,2.08,2.64 (2.44-2.84),94,97.92,3.31 (2.97-3.64)
oligodendrocytes 0,479.0,0.172,64.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.097,52.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.102,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
