tipo_celular,module_size,TTBK1_MM,TTBK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.087,17.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,56,15.86,2.29 (1.97-2.61),297,84.14,4.31 (4.12-4.49)
GABA neurons expressing GLU receptors 22,703.0,0.236,79.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1247.0,0.05,3.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,97.0,0.159,44.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.064,23.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.149,46.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,262.0,0.051,10.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.029,3.0,32,10,31.25,1.44 (0.70-2.17),22,68.75,4.25 (3.34-5.15)
oligodendrocytes 10,806.0,0.044,6.0,261,15,5.75,5.37 (4.32-6.43),246,94.25,4.30 (4.05-4.54)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.208,85.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,87.0,0.346,99.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.266,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.12,12.0,104,23,22.12,1.83 (1.43-2.24),81,77.88,3.19 (2.87-3.50)
oligodendrocytes 0,2078.0,0.097,18.0,238,11,4.62,2.72 (2.15-3.28),227,95.38,3.69 (3.46-3.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.031,1.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05)
oligodendrocytes 2,1630.0,0.158,83.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
