tipo_celular,module_size,ARHGAP5_MM,ARHGAP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.3,91.0,32,9,28.12,4.80 (3.61-5.99),23,71.88,3.18 (2.26-4.11)
T cells 18,477,0.151,42.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.125,40.0,166,9,5.42,3.04 (1.64-4.44),157,94.58,3.42 (3.16-3.67)
oligodendrocyte progenitor cells 7,666,0.198,71.0,127,13,10.24,2.43 (1.87-2.99),114,89.76,4.08 (3.73-4.44)
GABA neurons expressing GLU receptors 22,703,0.067,2.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,1316,0.112,39.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,142,0.061,4.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,238,0.241,82.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37)
endothelial cells 9,385,0.109,56.0,275,14,5.09,1.01 (0.31-1.71),261,94.91,4.10 (3.84-4.35)
oligodendrocytes 20,221,0.133,21.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.033,2.0,306,30,9.8,3.36 (2.67-4.04),276,90.2,5.37 (5.10-5.63)
astrocytes 8,520,0.06,19.0,288,9,3.12,2.36 (1.03-3.69),279,96.88,4.21 (4.01-4.40)
oligodendrocyte progenitor cells 12,708,0.455,95.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93)
oligodendrocytes 10,806,0.107,30.0,261,7,2.68,2.99 (1.51-4.47),254,97.32,4.38 (4.14-4.62)
connective tissue cells 21,106,0.274,57.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,268,0.219,78.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,74,0.183,53.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553,0.241,91.0,124,3,2.42,0.40 (NA-NA),121,97.58,4.23 (3.84-4.61)
astrocytes microglia 23,190,0.237,30.0,7,1,14.29,7.18 (NA-NA),6,85.71,4.37 (3.67-5.07)
astrocytes 4,220,0.108,12.0,63,1,1.59,2.92 (NA-NA),62,98.41,5.18 (4.61-5.74)
oligodendrocytes 0,613,0.206,91.0,127,1,0.79,NA,126,99.21,3.05 (2.64-3.46)
microglia 1,958,0.142,85.0,290,7,2.41,1.44 (0.92-1.96),283,97.59,3.88 (3.65-4.11)
oligodendrocytes 3,1003,0.099,54.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.158,82.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90)
