tipo_celular,module_size,PGGT1B_MM,PGGT1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.103,14.0,71,5,7.04,2.19 (1.08-3.29),66,92.96,2.66 (2.22-3.10)
T cells 18,727.0,0.106,21.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.143,89.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.153,76.0,353,16,4.53,1.89 (1.38-2.41),337,95.47,4.01 (3.83-4.20)
GABA neurons expressing GLU receptors 22,714.0,0.264,85.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,1316.0,0.136,61.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,71.0,0.354,76.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.075,10.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348.0,0.058,27.0,33,4,12.12,3.01 (2.78-3.24),29,87.88,2.69 (2.13-3.25)
GABA like neurons 14,3052.0,0.135,46.0,125,2,1.6,3.09 (2.91-3.26),123,98.4,3.36 (3.03-3.69)
astrocytes 8,727.0,0.097,43.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,14,5.07,1.96 (1.43-2.48),262,94.93,3.65 (3.43-3.88)
oligodendrocytes 10,1277.0,0.038,6.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,142.0,0.297,37.0,55,1,1.82,2.62 (NA-NA),54,98.18,3.45 (2.58-4.31)
astrocytes 15,418.0,0.061,35.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,90.0,0.394,100.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.285,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.171,92.0,104,16,15.38,1.89 (1.38-2.41),88,84.62,3.06 (2.75-3.36)
oligodendrocytes 0,2078.0,0.111,44.0,238,7,2.94,2.56 (1.77-3.36),231,97.06,3.67 (3.45-3.90)
microglia 1,813.0,0.108,41.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.07,26.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.162,88.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
