tipo_celular,module_size,ARHGAP21_MM,ARHGAP21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.135,18.0,140,8,5.71,2.55 (2.04-3.06),132,94.29,4.68 (4.39-4.96)
T cells 18,349,0.436,90.0,68,12,17.65,2.52 (1.65-3.40),56,82.35,4.92 (4.35-5.50)
astrocytes 5,165,0.145,32.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229,0.115,16.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.438,93.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,637,0.503,96.0,91,17,18.68,2.07 (1.26-2.89),74,81.32,5.37 (4.92-5.82)
da like neurons 11,408,0.353,80.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48)
GABA neurons expressing GABA receptors 13,288,0.245,75.0,93,11,11.83,2.78 (1.81-3.74),82,88.17,5.58 (5.10-6.07)
endothelial cells 9,450,0.417,81.0,74,3,4.05,3.57 (1.75-5.39),71,95.95,5.59 (5.03-6.15)
oligodendrocytes 20,676,0.15,38.0,110,8,7.27,2.78 (1.24-4.31),102,92.73,5.24 (4.81-5.68)
GABA like neurons 14,1300,0.129,16.0,306,36,11.76,3.15 (2.56-3.74),270,88.24,5.49 (5.24-5.75)
astrocytes 8,771,0.415,88.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.152,67.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89)
oligodendrocytes 10,204,0.441,50.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250,0.285,41.0,117,9,7.69,2.93 (2.00-3.87),108,92.31,5.66 (5.28-6.04)
astrocytes 15,458,0.214,85.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,199,0.177,59.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398,0.369,92.0,138,23,16.67,3.06 (2.44-3.69),115,83.33,5.25 (4.87-5.64)
astrocytes microglia 23,89,0.192,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102,0.112,7.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,187,0.123,20.0,14,3,21.43,6.17 (4.20-8.15),11,78.57,5.41 (4.76-6.06)
microglia 1,315,0.144,37.0,144,4,2.78,4.77 (1.77-7.76),140,97.22,4.45 (4.14-4.75)
oligodendrocytes 3,854,0.039,2.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,237,0.084,1.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
