tipo_celular,module_size,IFI16_MM,IFI16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.15,41.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,506.0,0.177,47.0,225,38,16.89,3.23 (2.71-3.76),187,83.11,3.72 (3.44-4.00)
astrocytes 5,322.0,0.314,91.0,58,15,25.86,3.20 (2.47-3.94),43,74.14,4.60 (4.15-5.06)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,75,21.25,2.47 (2.16-2.79),278,78.75,4.40 (4.22-4.58)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.22,67.0,141,13,9.22,2.79 (2.04-3.54),128,90.78,2.98 (2.73-3.23)
oligodendrocytes 20,330.0,0.047,11.0,36,18,50.0,2.06 (1.76-2.36),18,50.0,1.79 (1.19-2.40)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.048,12.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.13,94.0,276,56,20.29,2.30 (2.02-2.59),220,79.71,3.96 (3.72-4.20)
oligodendrocytes 10,2107.0,0.258,83.0,358,93,25.98,2.54 (2.25-2.83),265,74.02,4.50 (4.31-4.68)
connective tissue cells 21,145.0,0.293,48.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338.0,0.098,12.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,156.0,0.188,42.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.271,59.0,47,8,17.02,2.58 (1.89-3.27),39,82.98,2.91 (2.53-3.28)
astrocytes 4,1807.0,0.126,18.0,104,29,27.88,1.79 (1.45-2.12),75,72.12,3.28 (2.97-3.60)
oligodendrocytes 0,2078.0,0.15,98.0,238,22,9.24,3.28 (2.67-3.90),216,90.76,3.68 (3.44-3.91)
microglia 1,315.0,0.126,27.0,144,13,9.03,3.71 (2.89-4.52),131,90.97,4.55 (4.22-4.87)
oligodendrocytes 3,854.0,0.122,79.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,348.0,0.159,31.0,114,7,6.14,3.20 (2.74-3.65),107,93.86,5.30 (4.87-5.72)
