tipo_celular,module_size,CLSTN3_MM,CLSTN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.083,12.0,241,3,1.24,3.23 (2.24-4.23),238,98.76,4.07 (3.81-4.32)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.167,40.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848.0,0.474,97.0,262,46,17.56,4.38 (3.81-4.95),216,82.44,4.09 (3.82-4.36)
GLU like neurons 17,300.0,0.246,88.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,265.0,0.176,46.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,357.0,0.265,84.0,237,12,5.06,4.85 (4.00-5.70),225,94.94,4.38 (4.14-4.62)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.284,63.0,455,29,6.37,2.57 (2.04-3.11),426,93.63,4.51 (4.33-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.052,17.0,235,7,2.98,3.46 (2.70-4.21),228,97.02,3.84 (3.60-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.215,68.0,159,3,1.89,6.33 (6.33-6.33),156,98.11,4.32 (4.00-4.63)
astrocytes microglia 23,78.0,0.414,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
