tipo_celular,module_size,CARNMT1_MM,CARNMT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.121,26.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,727.0,0.264,99.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,16,4.53,1.30 (0.75-1.85),337,95.47,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,823.0,0.174,47.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.071,8.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,145.0,0.225,47.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.205,79.0,18,9,50.0,0.92 (0.49-1.35),9,50.0,2.84 (1.90-3.78)
GABA like neurons 14,3052.0,0.147,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.047,13.0,276,8,2.9,1.61 (0.85-2.37),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,2107.0,0.129,42.0,358,19,5.31,1.30 (0.75-1.85),339,94.69,4.02 (3.84-4.21)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,78.0,0.23,68.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.336,73.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.101,24.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.112,46.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.09,50.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.126,21.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
