tipo_celular,module_size,USP9Y_MM,USP9Y_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.136,34.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.165,60.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,156.0,0.099,15.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,30.0,353,23,6.52,1.66 (1.10-2.23),330,93.48,4.08 (3.90-4.25)
GABA neurons expressing GLU receptors 22,823.0,0.159,37.0,23,5,21.74,2.59 (1.55-3.63),18,78.26,2.34 (1.44-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,191.0,0.103,13.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.125,48.0,297,6,2.02,3.46 (2.38-4.54),291,97.98,3.68 (3.47-3.88)
oligodendrocytes 20,403.0,0.348,95.0,18,9,50.0,0.92 (0.49-1.35),9,50.0,2.84 (1.90-3.78)
GABA like neurons 14,3052.0,0.181,83.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68)
astrocytes 8,262.0,0.055,11.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,18,6.52,2.27 (1.50-3.04),258,93.48,3.65 (3.43-3.87)
oligodendrocytes 10,2107.0,0.062,9.0,358,29,8.1,1.75 (1.15-2.36),329,91.9,4.08 (3.90-4.26)
connective tissue cells 21,126.0,0.259,34.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,1768.0,0.082,46.0,105,11,10.48,1.58 (0.98-2.18),94,89.52,3.42 (3.08-3.77)
oligodendrocytes 16,156.0,0.206,57.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.295,29.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,255.0,0.135,19.0,12,1,8.33,NA,11,91.67,4.62 (3.76-5.48)
oligodendrocytes 0,117.0,0.101,16.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.115,58.0,161,20,12.42,1.65 (1.05-2.24),141,87.58,3.56 (3.30-3.83)
oligodendrocytes 3,681.0,0.085,40.0,87,10,11.49,1.30 (0.72-1.88),77,88.51,2.77 (2.49-3.04)
oligodendrocytes 2,1630.0,0.115,9.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
