tipo_celular,module_size,MYO1D_MM,MYO1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.251,70.0,15,3,20.0,NA,12,80.0,5.79 (5.09-6.49)
T cells 18,388.0,0.169,61.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.391,91.0,16,5,31.25,2.47 (2.02-2.92),11,68.75,1.77 (0.87-2.68)
GLU like neurons 17,637.0,0.221,69.0,91,22,24.18,2.25 (1.29-3.20),69,75.82,5.31 (4.86-5.77)
da like neurons 11,408.0,0.341,79.0,25,8,32.0,3.75 (1.47-6.02),17,68.0,5.08 (3.46-6.70)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.317,70.0,74,17,22.97,5.16 (3.91-6.40),57,77.03,5.54 (4.92-6.17)
oligodendrocytes 20,676.0,0.406,68.0,110,24,21.82,4.80 (3.95-5.65),86,78.18,5.04 (4.52-5.55)
GABA like neurons 14,2090.0,0.132,34.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,204.0,0.469,61.0,92,7,7.61,3.31 (1.78-4.84),85,92.39,5.84 (5.37-6.30)
connective tissue cells 21,139.0,0.353,82.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.268,40.0,105,26,24.76,4.67 (3.78-5.56),79,75.24,5.20 (4.68-5.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.298,34.0,1,1,100.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,261.0,0.133,19.0,42,19,45.24,4.13 (3.21-5.05),23,54.76,4.01 (2.98-5.03)
microglia 1,346.0,0.317,92.0,43,1,2.33,3.38 (NA-NA),42,97.67,3.78 (3.26-4.30)
oligodendrocytes 3,99.0,0.163,22.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.279,74.0,26,2,7.69,6.67 (NA-NA),24,92.31,5.06 (4.07-6.04)
