tipo_celular,module_size,MTHFD1L_MM,MTHFD1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.433,89.0,140,8,5.71,3.76 (2.95-4.57),132,94.29,4.61 (4.31-4.90)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.189,57.0,58,8,13.79,4.36 (3.21-5.51),50,86.21,4.15 (3.69-4.61)
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,27,7.65,1.89 (1.44-2.34),326,92.35,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,203.0,0.242,42.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.155,65.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,71.0,0.407,80.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.157,41.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,348.0,0.056,26.0,33,1,3.03,3.09 (NA-NA),32,96.97,2.72 (2.22-3.22)
GABA like neurons 14,1300.0,0.254,72.0,306,11,3.59,3.03 (2.12-3.93),295,96.41,5.21 (4.94-5.47)
astrocytes 8,262.0,0.194,74.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.119,55.0,32,7,21.88,1.25 (0.20-2.29),25,78.12,3.91 (3.06-4.76)
oligodendrocytes 10,2107.0,0.377,96.0,358,17,4.75,1.30 (0.83-1.77),341,95.25,4.04 (3.85-4.22)
connective tissue cells 21,152.0,0.263,53.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1401.0,0.205,97.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,108.0,0.256,78.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.271,41.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70)
astrocytes 4,171.0,0.113,10.0,22,1,4.55,6.33 (NA-NA),21,95.45,4.43 (3.48-5.38)
oligodendrocytes 0,309.0,0.189,84.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.213,69.0,144,6,4.17,3.58 (2.71-4.45),138,95.83,4.50 (4.19-4.82)
oligodendrocytes 3,242.0,0.194,76.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.178,42.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
