tipo_celular,module_size,PAPOLG_MM,PAPOLG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.311,84.0,102,5,4.9,2.75 (1.80-3.70),97,95.1,3.54 (3.16-3.92)
T cells 18,727.0,0.127,36.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,18,5.1,1.81 (1.21-2.42),335,94.9,4.03 (3.84-4.21)
GABA neurons expressing GLU receptors 22,1069.0,0.19,68.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.108,25.0,91,7,7.69,0.94 (0.08-1.80),84,92.31,4.96 (4.48-5.43)
da like neurons 11,102.0,0.195,34.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.074,10.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,403.0,0.039,8.0,18,8,44.44,1.18 (0.49-1.88),10,55.56,2.43 (1.45-3.42)
GABA like neurons 14,3052.0,0.11,25.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.054,19.0,276,9,3.26,2.39 (1.71-3.07),267,96.74,3.59 (3.37-3.82)
oligodendrocytes 10,2107.0,0.1,29.0,358,18,5.03,1.81 (1.21-2.42),340,94.97,4.00 (3.81-4.19)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,65.0,0.102,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.411,80.0,120,5,4.17,1.29 (0.13-2.44),115,95.83,3.74 (3.45-4.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.108,36.0,238,2,0.84,2.60 (2.45-2.75),236,99.16,3.65 (3.42-3.87)
microglia 1,480.0,0.306,86.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.106,67.0,76,1,1.32,3.78 (NA-NA),75,98.68,2.77 (2.43-3.10)
oligodendrocytes 2,1630.0,0.154,76.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
