tipo_celular,module_size,PHF1_MM,PHF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.202,77.0,131,4,3.05,3.38 (1.98-4.78),127,96.95,3.06 (2.78-3.34)
astrocytes 5,1656.0,0.076,4.0,136,8,5.88,2.72 (1.17-4.27),128,94.12,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,65,18.41,2.12 (1.76-2.48),288,81.59,4.35 (4.18-4.52)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,77.0,0.096,11.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.066,11.0,54,1,1.85,4.29 (NA-NA),53,98.15,4.85 (4.21-5.50)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.278,62.0,455,24,5.27,1.40 (1.04-1.77),431,94.73,4.57 (4.40-4.75)
astrocytes 8,603.0,0.079,52.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,54,19.57,2.02 (1.74-2.29),222,80.43,3.95 (3.72-4.18)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.08,44.0,105,21,20.0,1.55 (1.23-1.87),84,80.0,3.67 (3.32-4.03)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.066,8.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82)
astrocytes microglia 23,161.0,0.336,73.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.131,26.0,104,28,26.92,1.69 (1.38-2.00),76,73.08,3.35 (3.04-3.66)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
