tipo_celular,module_size,FGFR1_MM,FGFR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.162,58.0,80,4,5.0,3.47 (1.84-5.10),76,95.0,3.40 (2.90-3.89)
oligodendrocyte progenitor cells 7,448.0,0.116,31.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.078,15.0,80,5,6.25,3.51 (2.72-4.31),75,93.75,5.89 (5.49-6.30)
da like neurons 11,197.0,0.125,21.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.115,24.0,237,1,0.42,2.86 (NA-NA),236,99.58,4.42 (4.18-4.65)
endothelial cells 9,412.0,0.154,39.0,141,6,4.26,2.36 (1.02-3.71),135,95.74,2.99 (2.75-3.23)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.191,75.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,577.0,0.129,74.0,83,8,9.64,2.80 (1.90-3.69),75,90.36,3.31 (2.82-3.81)
oligodendrocyte progenitor cells 12,138.0,0.501,72.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.244,40.0,32,4,12.5,4.27 (1.98-6.57),28,87.5,5.25 (4.59-5.90)
astrocytes 15,338.0,0.068,7.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.098,46.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,124.0,0.229,8.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,514.0,0.159,34.0,95,6,6.32,1.95 (0.62-3.28),89,93.68,3.50 (3.07-3.93)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
