tipo_celular,module_size,BMP2K_MM,BMP2K_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.284,64.0,140,16,11.43,2.97 (2.49-3.44),124,88.57,4.78 (4.49-5.07)
T cells 18,610.0,0.278,99.0,98,25,25.51,2.25 (1.63-2.88),73,74.49,3.41 (3.07-3.75)
astrocytes 5,499.0,0.223,84.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,200.0,0.242,76.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,192.0,0.146,61.0,55,1,1.82,NA,54,98.18,4.03 (3.61-4.44)
GLU like neurons 17,1316.0,0.123,49.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,153.0,0.297,70.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.159,73.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,330.0,0.242,74.0,36,4,11.11,2.29 (2.29-2.29),32,88.89,1.88 (1.51-2.26)
GABA like neurons 14,3052.0,0.226,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.287,99.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.09,64.0,276,24,8.7,2.76 (2.18-3.34),252,91.3,3.64 (3.41-3.87)
oligodendrocytes 10,2107.0,0.516,100.0,358,34,9.5,2.07 (1.60-2.54),324,90.5,4.11 (3.92-4.30)
connective tissue cells 21,111.0,0.451,99.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,261.0,0.153,52.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,108.0,0.279,82.0,5,2,40.0,3.01 (1.93-4.08),3,60.0,4.62 (3.54-5.69)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.212,22.0,99,5,5.05,2.95 (2.51-3.39),94,94.95,4.38 (4.03-4.72)
astrocytes 4,752.0,0.19,94.0,96,5,5.21,4.04 (3.64-4.44),91,94.79,3.24 (2.89-3.59)
oligodendrocytes 0,1186.0,0.137,36.0,300,13,4.33,3.61 (3.22-3.99),287,95.67,3.80 (3.59-4.02)
microglia 1,346.0,0.142,46.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,94.0,0.093,51.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.173,40.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
