tipo_celular,module_size,PHYKPL_MM,PHYKPL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.142,30.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610.0,0.19,75.0,98,10,10.2,1.19 (0.63-1.75),88,89.8,3.37 (3.06-3.68)
astrocytes 5,322.0,0.085,5.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,13,3.68,1.34 (0.80-1.87),340,96.32,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.121,19.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.094,24.0,135,1,0.74,0.55 (NA-NA),134,99.26,3.21 (2.91-3.52)
da like neurons 11,108.0,0.127,21.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.113,39.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.307,90.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.181,69.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.096,41.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,7,2.54,1.87 (1.32-2.41),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.26,84.0,358,11,3.07,1.13 (0.61-1.65),347,96.93,3.98 (3.79-4.17)
connective tissue cells 21,111.0,0.181,2.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1401.0,0.176,94.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,313.0,0.103,5.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.205,15.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01)
astrocytes 4,721.0,0.126,10.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.102,5.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.108,41.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.061,18.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,407.0,0.122,15.0,122,10,8.2,1.15 (0.58-1.72),112,91.8,3.58 (3.19-3.98)
