tipo_celular,module_size,SMAD4_MM,SMAD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.176,49.0,15,4,26.67,5.41 (5.28-5.54),11,73.33,5.93 (4.97-6.89)
T cells 18,624.0,0.098,11.0,142,4,2.82,4.03 (3.56-4.50),138,97.18,3.20 (2.93-3.47)
astrocytes 5,1656.0,0.117,51.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.167,91.0,353,70,19.83,2.25 (1.96-2.53),283,80.17,4.44 (4.26-4.61)
GABA neurons expressing GLU receptors 22,703.0,0.244,81.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.086,29.0,275,69,25.09,2.38 (2.09-2.67),206,74.91,4.83 (4.56-5.10)
oligodendrocytes 20,403.0,0.047,15.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95)
GABA like neurons 14,3052.0,0.118,32.0,125,5,4.0,4.04 (3.53-4.55),120,96.0,3.33 (3.00-3.66)
astrocytes 8,140.0,0.116,47.0,1,1,100.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.027,2.0,276,56,20.29,2.29 (1.98-2.60),220,79.71,3.96 (3.73-4.20)
oligodendrocytes 10,483.0,0.062,18.0,129,1,0.78,6.08 (NA-NA),128,99.22,3.40 (3.01-3.79)
connective tissue cells 21,96.0,0.334,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.146,90.0,105,21,20.0,1.52 (1.23-1.81),84,80.0,3.68 (3.33-4.03)
oligodendrocytes 16,113.0,0.245,73.0,10,1,10.0,1.82 (NA-NA),9,90.0,3.06 (2.20-3.93)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.322,49.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.188,99.0,104,25,24.04,1.58 (1.27-1.89),79,75.96,3.31 (3.01-3.61)
oligodendrocytes 0,2078.0,0.137,91.0,238,17,7.14,2.50 (2.09-2.90),221,92.86,3.73 (3.50-3.97)
microglia 1,1615.0,0.098,31.0,161,63,39.13,2.22 (1.92-2.51),98,60.87,4.21 (3.91-4.50)
oligodendrocytes 3,681.0,0.089,44.0,87,59,67.82,2.44 (2.15-2.73),28,32.18,2.96 (2.36-3.56)
oligodendrocytes 2,1630.0,0.186,99.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
