tipo_celular,module_size,CTPS2_MM,CTPS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.239,70.0,21,1,4.76,0.26 (NA-NA),20,95.24,2.41 (1.78-3.03)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.101,28.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,12,3.4,1.38 (0.82-1.95),341,96.6,4.00 (3.82-4.19)
GABA neurons expressing GLU receptors 22,714.0,0.202,61.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,685.0,0.162,66.0,135,4,2.96,0.91 (0.59-1.22),131,97.04,3.27 (2.97-3.58)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.123,47.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,298.0,0.111,41.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.082,6.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,727.0,0.064,21.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.057,16.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99)
oligodendrocytes 10,2107.0,0.15,51.0,358,12,3.35,1.38 (0.82-1.95),346,96.65,3.98 (3.79-4.17)
connective tissue cells 21,102.0,0.261,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.157,53.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,88.0,0.225,68.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,70.0,0.225,19.0,76,3,3.95,4.60 (4.10-5.11),73,96.05,4.17 (3.61-4.72)
astrocytes 4,787.0,0.131,17.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.13,81.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89)
microglia 1,1615.0,0.101,36.0,161,12,7.45,1.38 (0.82-1.95),149,92.55,3.46 (3.19-3.73)
oligodendrocytes 3,854.0,0.089,49.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.125,19.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
