tipo_celular,module_size,CEP104_MM,CEP104_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.11,18.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727.0,0.1,18.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.089,13.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,10,2.83,1.31 (0.41-2.20),343,97.17,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,599.0,0.301,85.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,795.0,0.096,27.0,80,4,5.0,4.39 (4.23-4.56),76,95.0,5.75 (5.32-6.18)
da like neurons 11,200.0,0.137,27.0,8,1,12.5,NA,7,87.5,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.047,1.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.176,69.0,18,3,16.67,0.44 (0.35-0.52),15,83.33,2.17 (1.44-2.90)
GABA like neurons 14,2090.0,0.194,76.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.026,2.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.058,21.0,32,4,12.5,0.39 (0.29-0.50),28,87.5,3.72 (2.93-4.52)
oligodendrocytes 10,2107.0,0.072,14.0,358,10,2.79,0.90 (0.43-1.37),348,97.21,3.95 (3.76-4.14)
connective tissue cells 21,90.0,0.311,63.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,261.0,0.173,63.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,81.0,0.296,89.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.336,55.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.147,55.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.128,78.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.103,40.0,161,6,3.73,0.68 (0.17-1.18),155,96.27,3.40 (3.13-3.66)
oligodendrocytes 3,357.0,0.065,24.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.113,7.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
