tipo_celular,module_size,PDCD6_MM,PDCD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.081,3.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,388.0,0.108,24.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29)
astrocytes 5,1656.0,0.09,14.0,136,12,8.82,3.93 (3.25-4.61),124,91.18,3.15 (2.86-3.44)
oligodendrocyte progenitor cells 7,4285.0,0.139,55.0,353,71,20.11,2.76 (2.43-3.09),282,79.89,4.28 (4.08-4.48)
GABA neurons expressing GLU receptors 22,1069.0,0.142,34.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1247.0,0.105,28.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,108.0,0.152,31.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.148,61.0,169,34,20.12,3.42 (2.92-3.93),135,79.88,3.50 (3.25-3.74)
GABA like neurons 14,2090.0,0.229,90.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,727.0,0.048,8.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,61,22.1,2.97 (2.64-3.30),215,77.9,3.76 (3.49-4.02)
oligodendrocytes 10,2107.0,0.096,27.0,358,68,18.99,2.62 (2.28-2.96),290,81.01,4.29 (4.09-4.49)
connective tissue cells 21,85.0,0.407,90.0,3,1,33.33,NA,2,66.67,1.74 (1.73-1.75)
astrocytes 15,1401.0,0.067,32.0,96,8,8.33,2.59 (1.95-3.23),88,91.67,3.73 (3.24-4.22)
oligodendrocytes 16,74.0,0.171,47.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.446,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.157,73.0,104,33,31.73,2.56 (2.11-3.01),71,68.27,3.01 (2.66-3.37)
oligodendrocytes 0,2078.0,0.114,50.0,238,26,10.92,3.71 (3.24-4.19),212,89.08,3.62 (3.38-3.87)
microglia 1,1615.0,0.088,19.0,161,46,28.57,2.50 (2.07-2.94),115,71.43,3.68 (3.38-3.99)
oligodendrocytes 3,639.0,0.045,3.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.138,42.0,154,4,2.6,3.87 (1.60-6.13),150,97.4,3.24 (2.97-3.50)
