tipo_celular,module_size,ANKRA2_MM,ANKRA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.121,28.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.107,15.0,353,27,7.65,1.43 (1.08-1.77),326,92.35,4.15 (3.98-4.32)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.059,3.0,302,4,1.32,1.08 (0.19-1.96),298,98.68,4.02 (3.80-4.25)
oligodendrocytes 20,938.0,0.095,34.0,169,8,4.73,1.33 (0.42-2.25),161,95.27,3.56 (3.35-3.77)
GABA like neurons 14,2402.0,0.176,33.0,455,22,4.84,1.55 (0.90-2.19),433,95.16,4.50 (4.33-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.066,12.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.036,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.317,60.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,64.0,0.405,97.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.299,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.093,12.0,238,2,0.84,1.25 (-0.80-3.31),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.072,36.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.122,17.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
