tipo_celular,module_size,LRRC7_MM,LRRC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.143,35.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,436.0,0.091,24.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,714.0,0.244,78.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,795.0,0.201,77.0,80,5,6.25,3.48 (2.40-4.56),75,93.75,5.85 (5.45-6.25)
da like neurons 11,200.0,0.431,99.0,8,2,25.0,NA,6,75.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.153,44.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.043,9.0,169,0,0.0,NA,169,100.0,3.48 (3.26-3.70)
GABA like neurons 14,1300.0,0.143,21.0,306,5,1.63,2.83 (1.84-3.83),301,98.37,5.15 (4.88-5.41)
astrocytes 8,771.0,0.208,68.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,254.0,0.175,26.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,1277.0,0.126,62.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.195,83.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,313.0,0.172,29.0,291,1,0.34,4.56 (NA-NA),290,99.66,4.32 (4.10-4.55)
da neurons 6,448.0,0.122,70.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,110.0,0.304,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208.0,0.254,72.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,479.0,0.282,96.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.288,99.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.188,45.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
