tipo_celular,module_size,SH3BGRL_MM,SH3BGRL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.152,26.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,477,0.13,29.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.141,65.0,166,23,13.86,2.47 (1.95-2.99),143,86.14,3.58 (3.30-3.85)
oligodendrocyte progenitor cells 7,4285,0.125,34.0,353,39,11.05,2.52 (2.02-3.01),314,88.95,4.12 (3.93-4.31)
GABA neurons expressing GLU receptors 22,599,0.209,49.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247,0.128,45.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,209,0.159,43.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77,0.152,32.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,303,0.162,44.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,250,0.151,35.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300,0.126,15.0,306,7,2.29,2.00 (0.81-3.19),299,97.71,5.20 (4.94-5.46)
astrocytes 8,727,0.06,17.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708,0.108,50.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,2107,0.144,49.0,358,45,12.57,2.29 (1.88-2.70),313,87.43,4.18 (3.99-4.37)
connective tissue cells 21,111,0.21,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.243,93.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,108,0.154,35.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,729,0.091,18.0,182,5,2.75,2.53 (1.13-3.92),177,97.25,3.67 (3.42-3.93)
astrocytes microglia 23,253,0.213,27.0,47,7,14.89,2.69 (1.85-3.54),40,85.11,2.88 (2.51-3.24)
astrocytes 4,721,0.137,23.0,61,5,8.2,3.96 (3.85-4.08),56,91.8,2.87 (2.43-3.31)
oligodendrocytes 0,613,0.101,10.0,127,14,11.02,3.71 (2.46-4.96),113,88.98,2.91 (2.49-3.34)
microglia 1,315,0.119,22.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,357,0.099,55.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921,0.135,45.0,200,4,2.0,2.97 (1.31-4.63),196,98.0,3.64 (3.37-3.91)
