tipo_celular,module_size,DNAJC2_MM,DNAJC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.041,1.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.117,30.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,64,18.13,2.11 (1.83-2.39),289,81.87,4.38 (4.21-4.56)
GABA neurons expressing GLU receptors 22,1069.0,0.141,32.0,37,7,18.92,2.68 (1.41-3.95),30,81.08,2.06 (1.57-2.54)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,109.0,0.143,24.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.088,34.0,275,72,26.18,2.29 (1.95-2.64),203,73.82,4.72 (4.46-4.97)
oligodendrocytes 20,348.0,0.11,46.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.111,12.0,455,39,8.57,2.18 (1.55-2.81),416,91.43,4.57 (4.39-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.081,42.0,235,5,2.13,4.73 (1.92-7.54),230,97.87,3.80 (3.57-4.03)
oligodendrocytes 10,2107.0,0.125,41.0,358,70,19.55,2.09 (1.82-2.36),288,80.45,4.43 (4.25-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.347,96.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,43.0,0.419,72.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.078,4.0,238,16,6.72,2.51 (1.92-3.10),222,93.28,3.71 (3.49-3.94)
microglia 1,813.0,0.101,29.0,79,3,3.8,2.79 (1.19-4.39),76,96.2,3.11 (2.70-3.53)
oligodendrocytes 3,242.0,0.04,2.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.117,11.0,154,3,1.95,3.08 (1.74-4.42),151,98.05,3.25 (2.98-3.52)
