tipo_celular,module_size,MOB1B_MM,MOB1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.133,22.0,102,26,25.49,2.28 (1.80-2.76),76,74.51,3.90 (3.48-4.32)
T cells 18,727.0,0.203,89.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,499.0,0.177,61.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.228,81.0,127,24,18.9,3.24 (2.55-3.93),103,81.1,4.01 (3.63-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.26,95.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.082,19.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,153.0,0.213,44.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.135,31.0,62,1,1.61,NA,61,98.39,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.166,73.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.178,83.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,20,7.25,2.02 (1.57-2.47),256,92.75,3.70 (3.48-3.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,100.0,0.41,96.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1401.0,0.085,50.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.354,97.0,47,2,4.26,1.42 (0.47-2.37),45,95.74,2.92 (2.59-3.25)
astrocytes 4,514.0,0.173,44.0,95,7,7.37,1.95 (0.62-3.28),88,92.63,3.50 (3.07-3.93)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.133,79.0,161,25,15.53,1.75 (1.24-2.27),136,84.47,3.61 (3.34-3.88)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
