tipo_celular,module_size,TNS2_MM,TNS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.116,23.0,128,1,0.78,4.70 (NA-NA),127,99.22,3.56 (3.21-3.90)
oligodendrocyte progenitor cells 7,628.0,0.108,11.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.197,45.0,62,1,1.61,NA,61,98.39,4.05 (3.60-4.49)
oligodendrocytes 20,322.0,0.124,50.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.125,75.0,89,4,4.49,1.87 (0.01-3.72),85,95.51,2.82 (2.46-3.17)
oligodendrocyte progenitor cells 12,708.0,0.402,92.0,32,6,18.75,3.33 (1.97-4.68),26,81.25,3.24 (2.34-4.13)
oligodendrocytes 10,1277.0,0.083,33.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,85.0,0.247,22.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,338.0,0.153,52.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,91.0,0.194,46.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.471,95.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,787.0,0.123,10.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.104,11.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.049,5.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.133,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
