tipo_celular,module_size,MTG2_MM,MTG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.108,4.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,393.0,0.109,19.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,932.0,0.087,17.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,39,11.05,1.86 (1.48-2.23),314,88.95,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,714.0,0.08,3.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,300.0,0.264,92.0,16,3,18.75,2.29 (2.29-2.29),13,81.25,2.02 (0.93-3.12)
da like neurons 11,853.0,0.077,10.0,133,23,17.29,1.42 (1.13-1.72),110,82.71,3.72 (3.40-4.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.209,81.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,2090.0,0.131,33.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,603.0,0.05,22.0,89,11,12.36,1.70 (1.24-2.15),78,87.64,2.98 (2.59-3.37)
oligodendrocyte progenitor cells 12,708.0,0.062,24.0,32,7,21.88,0.99 (0.21-1.77),25,78.12,4.00 (3.17-4.82)
oligodendrocytes 10,2107.0,0.052,6.0,358,33,9.22,1.58 (1.18-1.98),325,90.78,4.18 (4.01-4.36)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.15,48.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,105.0,0.295,87.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.293,31.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807.0,0.156,71.0,104,16,15.38,1.62 (1.05-2.20),88,84.62,3.11 (2.82-3.40)
oligodendrocytes 0,2078.0,0.114,49.0,238,7,2.94,2.23 (1.41-3.05),231,97.06,3.69 (3.46-3.91)
microglia 1,813.0,0.074,4.0,79,2,2.53,2.25 (1.25-3.25),77,97.47,3.13 (2.71-3.54)
oligodendrocytes 3,681.0,0.04,4.0,87,21,24.14,1.57 (1.30-1.85),66,75.86,2.94 (2.63-3.25)
oligodendrocytes 2,1630.0,0.164,90.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54)
