tipo_celular,module_size,URI1_MM,URI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.111,16.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,388,0.13,38.0,84,11,13.1,2.65 (2.31-3.00),73,86.9,3.02 (2.65-3.39)
astrocytes 5,1141,0.168,90.0,166,37,22.29,2.38 (1.98-2.78),129,77.71,3.74 (3.46-4.02)
oligodendrocyte progenitor cells 7,4285,0.16,85.0,353,61,17.28,2.12 (1.82-2.43),292,82.72,4.33 (4.15-4.51)
GABA neurons expressing GLU receptors 22,487,0.211,49.0,73,4,5.48,2.34 (0.49-4.19),69,94.52,2.78 (2.39-3.18)
GLU like neurons 17,1316,0.097,25.0,101,1,0.99,NA,100,99.01,3.05 (2.70-3.40)
da like neurons 11,853,0.069,5.0,133,51,38.35,2.42 (2.08-2.75),82,61.65,3.92 (3.49-4.35)
GABA neurons expressing GABA receptors 13,77,0.129,18.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,1653,0.088,18.0,297,7,2.36,5.16 (5.16-5.16),290,97.64,3.66 (3.46-3.87)
oligodendrocytes 20,275,0.134,23.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.232,98.0,125,3,2.4,NA,122,97.6,3.35 (3.03-3.68)
astrocytes 8,771,0.124,50.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.106,80.0,276,48,17.39,2.43 (1.96-2.90),228,82.61,3.82 (3.59-4.05)
oligodendrocytes 10,2107,0.14,48.0,358,70,19.55,2.29 (1.96-2.61),288,80.45,4.35 (4.17-4.54)
connective tissue cells 21,106,0.314,69.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,261,0.153,52.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,151,0.114,4.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553,0.081,13.0,124,5,4.03,2.86 (1.23-4.48),119,95.97,4.25 (3.84-4.65)
astrocytes microglia 23,116,0.264,17.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,787,0.165,75.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.121,17.0,300,22,7.33,3.83 (3.52-4.14),278,92.67,3.79 (3.57-4.01)
microglia 1,813,0.123,58.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,743,0.123,86.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,347,0.076,2.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
