tipo_celular,module_size,ARFGAP2_MM,ARFGAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.16,40.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,282.0,0.233,85.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.105,33.0,136,4,2.94,3.62 (2.72-4.53),132,97.06,3.19 (2.92-3.47)
oligodendrocyte progenitor cells 7,628.0,0.129,23.0,164,4,2.44,1.29 (NA-NA),160,97.56,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,703.0,0.176,45.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.166,45.0,410,8,1.95,2.73 (2.21-3.26),402,98.05,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,338.0,0.078,17.0,191,3,1.57,2.52 (1.78-3.27),188,98.43,3.91 (3.69-4.14)
oligodendrocytes 20,233.0,0.168,38.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.24,53.0,455,16,3.52,2.35 (1.54-3.15),439,96.48,4.44 (4.26-4.63)
astrocytes 8,603.0,0.054,29.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.083,44.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,735.0,0.029,3.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.077,41.0,105,6,5.71,2.22 (1.00-3.43),99,94.29,3.28 (2.93-3.62)
oligodendrocytes 16,156.0,0.159,19.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,448.0,0.08,24.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,161.0,0.245,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.165,86.0,104,4,3.85,1.74 (0.18-3.31),100,96.15,2.91 (2.63-3.19)
oligodendrocytes 0,2078.0,0.11,41.0,238,10,4.2,3.06 (2.18-3.93),228,95.8,3.67 (3.44-3.89)
microglia 1,1615.0,0.06,1.0,161,17,10.56,2.43 (1.53-3.33),144,89.44,3.40 (3.12-3.67)
oligodendrocytes 3,743.0,0.1,72.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.133,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
