tipo_celular,module_size,SPEF2_MM,SPEF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.09,14.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,499.0,0.241,88.0,32,14,43.75,5.24 (4.36-6.12),18,56.25,4.92 (4.30-5.53)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,459.0,0.144,43.0,165,11,6.67,4.36 (3.43-5.29),154,93.33,5.14 (4.77-5.51)
GLU like neurons 17,795.0,0.107,36.0,80,6,7.5,4.39 (4.27-4.50),74,92.5,5.78 (5.35-6.21)
da like neurons 11,137.0,0.204,28.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.13,42.0,125,4,3.2,4.34 (3.93-4.76),121,96.8,3.31 (2.98-3.64)
astrocytes 8,727.0,0.135,66.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,145.0,0.34,73.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443.0,0.281,98.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.407,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.151,51.0,65,6,9.23,4.27 (3.68-4.86),59,90.77,2.79 (2.37-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
