tipo_celular,module_size,MBIP_MM,MBIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,63,17.85,2.24 (1.96-2.53),290,82.15,4.39 (4.21-4.57)
GABA neurons expressing GLU receptors 22,487.0,0.287,74.0,73,5,6.85,1.47 (1.37-1.56),68,93.15,2.87 (2.46-3.27)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.041,1.0,155,3,1.94,3.70 (2.59-4.82),152,98.06,4.35 (3.98-4.72)
oligodendrocytes 20,330.0,0.187,55.0,36,19,52.78,2.13 (1.85-2.42),17,47.22,1.65 (0.96-2.34)
GABA like neurons 14,3052.0,0.193,89.0,125,5,4.0,3.77 (3.19-4.35),120,96.0,3.33 (2.99-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,50,18.12,2.18 (1.92-2.45),226,81.88,3.95 (3.72-4.19)
oligodendrocytes 10,735.0,0.085,41.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.351,100.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.281,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,63.0,238,16,6.72,2.56 (2.15-2.98),222,93.28,3.73 (3.50-3.96)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.086,45.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.145,57.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
