tipo_celular,module_size,SYN1_MM,SYN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.205,64.0,251,6,2.39,3.58 (2.17-4.98),245,97.61,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848.0,0.253,65.0,262,49,18.7,3.85 (3.33-4.38),213,81.3,4.24 (3.96-4.52)
GLU like neurons 17,1316.0,0.165,81.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.225,64.0,410,27,6.59,3.12 (2.57-3.66),383,93.41,4.34 (4.15-4.54)
GABA neurons expressing GABA receptors 13,265.0,0.221,76.0,78,27,34.62,4.13 (3.48-4.79),51,65.38,4.46 (3.94-4.99)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.297,65.0,455,27,5.93,2.60 (1.91-3.30),428,94.07,4.48 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.053,18.0,276,26,9.42,2.66 (2.16-3.17),250,90.58,3.67 (3.43-3.90)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.302,87.0,159,7,4.4,6.21 (5.84-6.57),152,95.6,4.30 (3.99-4.62)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
