tipo_celular,module_size,ZNF549_MM,ZNF549_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.111,43.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,35,9.92,1.58 (1.32-1.84),318,90.08,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,848.0,0.149,23.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.08,10.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.12,34.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.04,7.0,66,7,10.61,0.61 (0.34-0.88),59,89.39,3.59 (3.22-3.97)
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,29,10.51,1.69 (1.48-1.90),247,89.49,3.84 (3.62-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.074,38.0,105,12,11.43,1.14 (0.87-1.40),93,88.57,3.51 (3.17-3.84)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.38,79.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807.0,0.142,46.0,104,18,17.31,1.30 (1.04-1.57),86,82.69,3.22 (2.94-3.51)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
