tipo_celular,module_size,CEP192_MM,CEP192_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.296,87.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52)
T cells 18,610.0,0.175,68.0,98,13,13.27,1.82 (0.98-2.66),85,86.73,3.32 (3.00-3.64)
astrocytes 5,1141.0,0.136,58.0,166,12,7.23,2.17 (1.36-2.98),154,92.77,3.48 (3.22-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,29,8.22,2.22 (1.70-2.73),324,91.78,4.07 (3.88-4.25)
GABA neurons expressing GLU receptors 22,400.0,0.276,86.0,24,11,45.83,1.98 (1.11-2.84),13,54.17,2.31 (1.69-2.92)
GLU like neurons 17,1316.0,0.111,38.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41)
da like neurons 11,209.0,0.345,85.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.118,42.0,297,10,3.37,3.33 (3.07-3.60),287,96.63,3.68 (3.47-3.89)
oligodendrocytes 20,228.0,0.275,75.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.206,94.0,125,4,3.2,4.19 (3.46-4.92),121,96.8,3.34 (3.01-3.66)
astrocytes 8,140.0,0.217,76.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.121,90.0,276,14,5.07,2.42 (1.63-3.21),262,94.93,3.60 (3.38-3.83)
oligodendrocytes 10,2107.0,0.333,93.0,358,30,8.38,2.26 (1.75-2.76),328,91.62,4.03 (3.84-4.23)
connective tissue cells 21,96.0,0.227,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.183,72.0,14,6,42.86,3.57 (1.46-5.68),8,57.14,1.18 (0.12-2.24)
oligodendrocytes 16,88.0,0.239,74.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.286,44.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,752.0,0.148,42.0,96,12,12.5,3.36 (2.34-4.38),84,87.5,3.28 (2.93-3.63)
oligodendrocytes 0,1186.0,0.156,68.0,300,12,4.0,3.56 (3.21-3.91),288,96.0,3.80 (3.59-4.01)
microglia 1,1615.0,0.135,80.0,161,14,8.7,1.25 (0.59-1.92),147,91.3,3.46 (3.19-3.72)
oligodendrocytes 3,854.0,0.125,81.0,76,5,6.58,0.21 (NA-NA),71,93.42,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.143,39.0,84,17,20.24,2.26 (1.21-3.30),67,79.76,2.75 (2.40-3.11)
