tipo_celular,module_size,PLOD3_MM,PLOD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.085,8.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,666.0,0.197,71.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,109.0,0.215,48.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.06,3.0,302,16,5.3,3.09 (2.48-3.70),286,94.7,4.05 (3.81-4.29)
oligodendrocytes 20,253.0,0.188,65.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.2,79.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,283.0,0.104,30.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.139,72.0,235,13,5.53,3.60 (2.99-4.21),222,94.47,3.83 (3.59-4.08)
oligodendrocytes 10,1277.0,0.063,20.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.04,19.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,123.0,0.232,66.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.35,80.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.156,72.0,104,21,20.19,2.26 (1.71-2.80),83,79.81,3.03 (2.71-3.35)
oligodendrocytes 0,613.0,0.124,30.0,127,2,1.57,1.21 (0.81-1.61),125,98.43,3.10 (2.68-3.52)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.107,62.0,87,10,11.49,1.10 (0.77-1.44),77,88.51,2.79 (2.52-3.07)
oligodendrocytes 2,526.0,0.133,10.0,213,2,0.94,4.16 (3.55-4.77),211,99.06,3.98 (3.70-4.25)
