tipo_celular,module_size,GLG1_MM,GLG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.183,32.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,624,0.163,59.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,118,0.121,2.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,448,0.154,60.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192,0.077,11.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,229,0.125,14.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,215,0.294,79.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,357,0.177,59.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.156,71.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,228,0.142,26.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,1300,0.221,57.0,306,5,1.63,2.32 (1.66-2.99),301,98.37,5.16 (4.90-5.42)
astrocytes 8,279,0.129,6.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,103,0.499,77.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,806,0.077,16.0,261,9,3.45,2.26 (1.58-2.94),252,96.55,4.42 (4.18-4.66)
connective tissue cells 21,111,0.171,5.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268,0.102,58.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,88,0.147,15.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.193,95.0,122,14,11.48,1.57 (0.95-2.18),108,88.52,4.28 (3.89-4.67)
astrocytes microglia 23,137,0.151,1.0,188,7,3.72,1.78 (0.51-3.05),181,96.28,4.48 (4.15-4.82)
astrocytes 4,251,0.09,2.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186,0.137,36.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.096,29.0,161,9,5.59,0.99 (0.33-1.65),152,94.41,3.44 (3.18-3.70)
oligodendrocytes 3,357,0.08,38.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407,0.169,64.0,122,7,5.74,0.66 (0.23-1.09),115,94.26,3.54 (3.16-3.92)
