tipo_celular,module_size,ANKS6_MM,ANKS6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.108,37.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,4,1.13,0.93 (0.21-1.65),349,98.87,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,703.0,0.225,73.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,795.0,0.193,75.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,145.0,0.231,49.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.059,28.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,2090.0,0.271,96.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.047,11.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,1277.0,0.099,45.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.311,63.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768.0,0.032,4.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,71.0,0.185,53.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.332,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.12,12.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.114,49.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.103,50.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.135,19.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
