tipo_celular,module_size,WDR19_MM,WDR19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.118,54.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.167,91.0,353,26,7.37,2.58 (1.98-3.17),327,92.63,4.01 (3.82-4.20)
GABA neurons expressing GLU receptors 22,203.0,0.187,17.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,300.0,0.209,69.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,153.0,0.276,62.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.128,40.0,125,6,4.8,4.27 (3.72-4.82),119,95.2,3.32 (2.99-3.65)
astrocytes 8,727.0,0.193,86.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,17,6.16,2.99 (2.31-3.67),259,93.84,3.59 (3.36-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126.0,0.229,19.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,367.0,0.062,15.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.316,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.162,71.0,65,10,15.38,4.27 (3.68-4.86),55,84.62,2.79 (2.37-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
