tipo_celular,module_size,PALLD_MM,PALLD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.264,91.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,436.0,0.126,48.0,219,37,16.89,5.35 (4.59-6.11),182,83.11,5.18 (4.87-5.49)
GABA neurons expressing GLU receptors 22,599.0,0.414,98.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,795.0,0.107,35.0,80,9,11.25,3.43 (2.41-4.45),71,88.75,5.85 (5.45-6.26)
da like neurons 11,87.0,0.289,52.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.311,80.0,54,16,29.63,5.85 (4.84-6.86),38,70.37,4.51 (3.80-5.23)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.171,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.232,96.0,29,2,6.9,NA,27,93.1,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254.0,0.489,97.0,37,8,21.62,3.39 (2.69-4.09),29,78.38,4.82 (4.15-5.49)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.131,82.0,96,19,19.79,4.02 (3.21-4.82),77,80.21,3.53 (3.02-4.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.222,26.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01)
astrocytes 4,514.0,0.281,82.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
