tipo_celular,module_size,CCDC66_MM,CCDC66_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.124,28.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727.0,0.145,52.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.134,80.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,27,7.65,2.14 (1.59-2.68),326,92.35,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,1069.0,0.142,34.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.1,30.0,80,4,5.0,4.39 (4.23-4.56),76,95.0,5.75 (5.32-6.18)
da like neurons 11,289.0,0.128,25.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.104,30.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,228.0,0.319,86.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.244,100.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64)
astrocytes 8,354.0,0.133,57.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,16,5.8,2.31 (1.56-3.07),260,94.2,3.62 (3.39-3.84)
oligodendrocytes 10,2107.0,0.115,36.0,358,26,7.26,1.85 (1.33-2.38),332,92.74,4.06 (3.87-4.25)
connective tissue cells 21,92.0,0.263,38.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,338.0,0.19,77.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,123.0,0.166,20.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.478,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.166,77.0,65,8,12.31,4.27 (3.68-4.86),57,87.69,2.79 (2.37-3.20)
oligodendrocytes 0,613.0,0.146,54.0,127,5,3.94,3.50 (2.99-4.01),122,96.06,3.02 (2.58-3.46)
microglia 1,1615.0,0.116,61.0,161,12,7.45,1.23 (0.56-1.90),149,92.55,3.46 (3.20-3.72)
oligodendrocytes 3,681.0,0.076,32.0,87,6,6.9,1.61 (0.73-2.49),81,93.1,2.66 (2.38-2.94)
oligodendrocytes 2,921.0,0.121,23.0,200,5,2.5,2.96 (2.11-3.82),195,97.5,3.64 (3.37-3.91)
