tipo_celular,module_size,KAT2A_MM,KAT2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.373,99.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.116,23.0,128,1,0.78,5.15 (NA-NA),127,99.22,3.55 (3.21-3.90)
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,105,29.75,2.68 (2.44-2.91),248,70.25,4.60 (4.40-4.79)
GABA neurons expressing GLU receptors 22,1069.0,0.212,81.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,380.0,0.183,58.0,39,3,7.69,2.50 (1.67-3.34),36,92.31,3.01 (2.41-3.61)
da like neurons 11,853.0,0.108,33.0,133,61,45.86,2.59 (2.25-2.93),72,54.14,4.01 (3.54-4.48)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.036,12.0,110,20,18.18,2.99 (2.31-3.68),90,81.82,5.55 (5.10-6.00)
GABA like neurons 14,2402.0,0.159,28.0,455,37,8.13,2.30 (1.81-2.78),418,91.87,4.60 (4.42-4.78)
astrocytes 8,603.0,0.167,85.0,89,8,8.99,1.57 (1.02-2.13),81,91.01,2.93 (2.55-3.30)
oligodendrocyte progenitor cells 12,708.0,0.124,57.0,32,12,37.5,1.65 (0.87-2.44),20,62.5,4.28 (3.32-5.24)
oligodendrocytes 10,1277.0,0.034,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,142.0,0.392,88.0,55,11,20.0,2.28 (1.31-3.26),44,80.0,4.15 (3.04-5.26)
astrocytes 15,443.0,0.132,36.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18)
oligodendrocytes 16,155.0,0.209,44.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.341,67.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,721.0,0.169,81.0,61,5,8.2,2.34 (1.66-3.02),56,91.8,3.01 (2.58-3.45)
oligodendrocytes 0,613.0,0.083,3.0,127,26,20.47,2.54 (2.17-2.91),101,79.53,3.27 (2.71-3.83)
microglia 1,1615.0,0.066,2.0,161,84,52.17,2.52 (2.26-2.78),77,47.83,4.43 (4.06-4.80)
oligodendrocytes 3,681.0,0.089,44.0,87,74,85.06,2.56 (2.29-2.82),13,14.94,2.75 (1.62-3.87)
oligodendrocytes 2,1630.0,0.145,56.0,154,8,5.19,3.60 (3.20-3.99),146,94.81,3.23 (2.95-3.50)
