tipo_celular,module_size,METTL8_MM,METTL8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.054,1.0,97,5,5.15,4.66 (3.61-5.71),92,94.85,2.95 (2.55-3.35)
T cells 18,477.0,0.083,4.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.094,9.0,166,20,12.05,1.84 (1.49-2.18),146,87.95,3.66 (3.40-3.92)
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,35,9.92,2.01 (1.55-2.47),318,90.08,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.101,30.0,135,23,17.04,2.34 (1.78-2.89),112,82.96,3.40 (3.06-3.75)
da like neurons 11,132.0,0.243,50.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.088,19.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,330.0,0.044,9.0,36,10,27.78,1.79 (1.52-2.05),26,72.22,1.98 (1.49-2.46)
GABA like neurons 14,3052.0,0.119,33.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66)
astrocytes 8,727.0,0.053,13.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,218.0,0.044,13.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107.0,0.242,80.0,358,45,12.57,1.99 (1.59-2.40),313,87.43,4.21 (4.03-4.40)
connective tissue cells 21,118.0,0.316,63.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1401.0,0.075,40.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,151.0,0.302,98.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.255,9.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,787.0,0.163,71.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31)
oligodendrocytes 0,2078.0,0.1,22.0,238,13,5.46,2.94 (2.14-3.74),225,94.54,3.68 (3.46-3.91)
microglia 1,813.0,0.128,62.0,79,7,8.86,4.70 (3.75-5.65),72,91.14,2.98 (2.57-3.40)
oligodendrocytes 3,242.0,0.086,22.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.119,7.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
