tipo_celular,module_size,DCP2_MM,DCP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.229,74.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,727.0,0.216,92.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,86,24.36,2.89 (2.53-3.26),267,75.64,4.32 (4.14-4.51)
GABA neurons expressing GLU receptors 22,487.0,0.203,46.0,73,7,9.59,1.62 (1.34-1.89),66,90.41,2.90 (2.48-3.31)
GLU like neurons 17,1316.0,0.162,79.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,71.0,0.158,35.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.101,12.0,120,2,1.67,3.13 (0.91-5.35),118,98.33,4.64 (4.32-4.95)
oligodendrocytes 20,358.0,0.032,9.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77)
GABA like neurons 14,3052.0,0.147,57.0,125,2,1.6,5.37 (4.97-5.77),123,98.4,3.31 (2.99-3.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,55,19.93,2.46 (2.12-2.80),221,80.07,3.92 (3.67-4.16)
oligodendrocytes 10,2107.0,0.084,20.0,358,97,27.09,2.98 (2.62-3.34),261,72.91,4.34 (4.15-4.53)
connective tissue cells 21,106.0,0.34,82.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.207,49.0,11,1,9.09,NA,10,90.91,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.243,9.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.106,33.0,238,29,12.18,4.02 (3.42-4.63),209,87.82,3.57 (3.33-3.81)
microglia 1,1615.0,0.127,73.0,161,57,35.4,2.12 (1.82-2.43),104,64.6,4.07 (3.77-4.36)
oligodendrocytes 3,1003.0,0.066,17.0,111,17,15.32,5.43 (4.87-5.99),94,84.68,2.88 (2.55-3.21)
oligodendrocytes 2,1630.0,0.14,46.0,154,3,1.95,3.74 (2.30-5.18),151,98.05,3.23 (2.96-3.50)
