tipo_celular,module_size,COX11_MM,COX11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.15,94.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,18,5.1,1.05 (0.74-1.36),335,94.9,4.09 (3.92-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.12,18.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.089,10.0,410,46,11.22,3.50 (3.23-3.77),364,88.78,4.38 (4.17-4.59)
GABA neurons expressing GABA receptors 13,77.0,0.252,95.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,586.0,0.084,14.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,298.0,0.057,20.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.177,34.0,455,48,10.55,2.93 (2.52-3.34),407,89.45,4.58 (4.38-4.77)
astrocytes 8,520.0,0.048,12.0,288,33,11.46,3.39 (3.02-3.75),255,88.54,4.31 (4.09-4.53)
oligodendrocyte progenitor cells 12,218.0,0.03,4.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806.0,0.123,35.0,261,23,8.81,3.29 (2.87-3.70),238,91.19,4.50 (4.24-4.76)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.047,14.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,104.0,0.263,87.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,553.0,0.089,20.0,124,4,3.23,2.37 (0.94-3.80),120,96.77,4.27 (3.87-4.67)
astrocytes microglia 23,96.0,0.41,91.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807.0,0.171,92.0,104,10,9.62,1.07 (0.68-1.46),94,90.38,3.07 (2.79-3.35)
oligodendrocytes 0,2078.0,0.131,83.0,238,2,0.84,0.82 (-0.38-2.02),236,99.16,3.66 (3.45-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.053,10.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.18,99.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
