tipo_celular,module_size,ELK4_MM,ELK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.171,61.0,71,5,7.04,1.47 (0.79-2.14),66,92.96,2.73 (2.29-3.16)
T cells 18,610.0,0.136,37.0,98,32,32.65,1.84 (1.48-2.20),66,67.35,3.85 (3.53-4.17)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.113,30.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,228.0,0.284,78.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.136,46.0,358,73,20.39,2.22 (1.96-2.48),285,79.61,4.47 (4.29-4.66)
connective tissue cells 21,145.0,0.428,95.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.329,99.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.389,91.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.128,78.0,238,16,6.72,2.51 (2.08-2.95),222,93.28,3.73 (3.50-3.96)
microglia 1,1615.0,0.117,61.0,161,57,35.4,2.12 (1.84-2.39),104,64.6,4.12 (3.82-4.43)
oligodendrocytes 3,681.0,0.075,32.0,87,56,64.37,2.43 (2.14-2.71),31,35.63,2.93 (2.33-3.53)
oligodendrocytes 2,1630.0,0.179,98.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
