tipo_celular,module_size,RHOU_MM,RHOU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.147,34.0,51,1,1.96,5.98 (NA-NA),50,98.04,5.33 (4.65-6.01)
oligodendrocyte progenitor cells 7,229.0,0.116,17.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.115,20.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.236,72.0,48,5,10.42,5.23 (2.84-7.63),43,89.58,4.31 (3.52-5.11)
oligodendrocyte progenitor cells 12,708.0,0.134,59.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89)
oligodendrocytes 10,1277.0,0.222,96.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.286,36.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,377.0,0.092,12.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,91.0,0.205,42.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.391,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.162,43.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32)
oligodendrocytes 0,479.0,0.14,40.0,40,1,2.5,8.28 (NA-NA),39,97.5,5.79 (5.28-6.29)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.14,81.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.117,8.0,114,21,18.42,4.77 (4.01-5.54),93,81.58,5.23 (4.74-5.71)
