tipo_celular,module_size,MPP2_MM,MPP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.089,19.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.091,5.0,353,12,3.4,1.34 (0.79-1.89),341,96.6,4.01 (3.82-4.19)
GABA neurons expressing GLU receptors 22,400.0,0.253,80.0,24,3,12.5,0.35 (0.26-0.44),21,87.5,2.41 (1.93-2.90)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.091,17.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48)
GABA neurons expressing GABA receptors 13,265.0,0.116,23.0,78,3,3.85,4.80 (4.36-5.24),75,96.15,4.34 (3.90-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.118,25.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.093,11.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.059,18.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.027,2.0,32,6,18.75,1.54 (0.18-2.89),26,81.25,3.71 (2.84-4.59)
oligodendrocytes 10,806.0,0.074,16.0,261,14,5.36,4.37 (3.28-5.46),247,94.64,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.211,84.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,82.0,0.175,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.079,22.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.133,30.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,309.0,0.132,49.0,30,2,6.67,5.51 (5.51-5.51),28,93.33,6.14 (5.49-6.80)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.098,51.0,15,5,33.33,2.19 (-1.41-5.79),10,66.67,3.81 (2.59-5.04)
oligodendrocytes 2,131.0,0.151,30.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
