tipo_celular,module_size,DPP9_MM,DPP9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.224,60.0,21,3,14.29,0.35 (0.26-0.44),18,85.71,2.64 (2.04-3.25)
T cells 18,624.0,0.148,47.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.1,38.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,20,5.67,1.76 (1.20-2.32),333,94.33,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,823.0,0.15,31.0,23,2,8.7,2.11 (-0.05-4.28),21,91.3,2.43 (1.64-3.22)
GLU like neurons 17,1247.0,0.13,48.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.219,88.0,133,12,9.02,1.58 (0.92-2.23),121,90.98,3.45 (3.13-3.77)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.052,2.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,298.0,0.04,10.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.206,82.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.103,69.0,66,12,18.18,2.04 (1.15-2.92),54,81.82,3.54 (3.11-3.98)
oligodendrocyte progenitor cells 12,708.0,0.071,30.0,32,6,18.75,1.64 (0.48-2.80),26,81.25,3.68 (2.78-4.59)
oligodendrocytes 10,2107.0,0.05,6.0,358,22,6.15,1.51 (1.07-1.96),336,93.85,4.07 (3.89-4.26)
connective tissue cells 21,111.0,0.239,23.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768.0,0.071,34.0,105,12,11.43,1.83 (1.21-2.45),93,88.57,3.41 (3.05-3.76)
oligodendrocytes 16,75.0,0.358,98.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.313,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,68.0,104,9,8.65,1.46 (0.81-2.12),95,91.35,3.01 (2.72-3.29)
oligodendrocytes 0,2078.0,0.105,30.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.107,39.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,357.0,0.035,2.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.154,75.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
