tipo_celular,module_size,WDR20_MM,WDR20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.161,21.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,349.0,0.186,51.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1141.0,0.09,6.0,166,10,6.02,2.38 (1.55-3.20),156,93.98,3.47 (3.21-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,14,3.97,1.44 (0.86-2.02),339,96.03,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.197,72.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.074,13.0,135,3,2.22,2.07 (-0.32-4.45),132,97.78,3.22 (2.91-3.53)
da like neurons 11,168.0,0.154,65.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.193,45.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330.0,0.245,75.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,3052.0,0.078,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.183,63.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.15,99.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,1277.0,0.198,90.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.231,13.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768.0,0.101,64.0,105,6,5.71,1.76 (1.17-2.35),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,74.0,0.148,29.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.241,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.134,19.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.16,76.0,300,2,0.67,4.01 (3.12-4.91),298,99.33,3.79 (3.58-4.00)
microglia 1,958.0,0.092,21.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,1003.0,0.131,77.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.17,69.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
