tipo_celular,module_size,CAB39L_MM,CAB39L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.182,96.0,166,6,3.61,2.93 (1.21-4.65),160,96.39,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.165,91.0,353,12,3.4,2.38 (1.25-3.51),341,96.6,3.96 (3.77-4.14)
GABA neurons expressing GLU receptors 22,599.0,0.281,80.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.119,41.0,135,6,4.44,2.10 (0.79-3.40),129,95.56,3.25 (2.94-3.56)
da like neurons 11,191.0,0.091,7.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.13,34.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,275.0,0.203,53.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.198,91.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68)
astrocytes 8,218.0,0.314,98.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,7,2.54,1.44 (0.76-2.12),269,97.46,3.61 (3.40-3.83)
oligodendrocytes 10,806.0,0.141,44.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,84.0,0.288,52.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.106,68.0,105,7,6.67,2.56 (0.84-4.27),98,93.33,3.26 (2.93-3.60)
oligodendrocytes 16,122.0,0.234,72.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,228.0,0.213,90.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,59.0,0.39,85.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.277,92.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613.0,0.181,80.0,127,1,0.79,1.71 (NA-NA),126,99.21,3.07 (2.65-3.49)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.173,92.0,87,6,6.9,1.95 (0.98-2.92),81,93.1,2.63 (2.35-2.92)
oligodendrocytes 2,921.0,0.211,99.0,200,1,0.5,3.17 (NA-NA),199,99.5,3.62 (3.36-3.89)
