tipo_celular,module_size,USP49_MM,USP49_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.122,70.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,44,12.46,2.13 (1.75-2.50),309,87.54,4.21 (4.03-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,5,13.51,2.82 (1.54-4.10),32,86.49,2.03 (1.55-2.51)
GLU like neurons 17,300.0,0.213,71.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,97.0,0.233,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.032,3.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.155,51.0,74,7,9.46,2.27 (1.61-2.93),67,90.54,3.02 (2.61-3.43)
astrocytes 8,262.0,0.087,21.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.085,58.0,276,33,11.96,2.46 (2.01-2.92),243,88.04,3.73 (3.50-3.96)
oligodendrocytes 10,2107.0,0.111,34.0,358,46,12.85,2.22 (1.81-2.63),312,87.15,4.18 (3.99-4.37)
connective tissue cells 21,111.0,0.347,86.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.072,35.0,105,24,22.86,2.09 (1.70-2.48),81,77.14,3.58 (3.19-3.97)
oligodendrocytes 16,116.0,0.051,0.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.322,48.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807.0,0.135,31.0,104,28,26.92,1.94 (1.59-2.29),76,73.08,3.24 (2.91-3.57)
oligodendrocytes 0,2078.0,0.113,46.0,238,17,7.14,3.44 (2.56-4.32),221,92.86,3.65 (3.42-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.08,39.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.131,28.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
