tipo_celular,module_size,ANXA4_MM,ANXA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.179,61.0,32,4,12.5,3.41 (2.14-4.68),28,87.5,3.78 (2.89-4.67)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.089,6.0,166,27,16.27,2.16 (1.71-2.61),139,83.73,3.69 (3.43-3.96)
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,45,12.75,1.91 (1.61-2.22),308,87.25,4.27 (4.10-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.162,53.0,91,13,14.29,1.42 (0.71-2.13),78,85.71,5.22 (4.77-5.66)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.113,39.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.238,79.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.066,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.042,11.0,83,6,7.23,1.55 (0.88-2.21),77,92.77,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,708.0,0.167,71.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.164,57.0,358,50,13.97,1.94 (1.60-2.27),308,86.03,4.26 (4.08-4.45)
connective tissue cells 21,136.0,0.276,45.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401.0,0.072,37.0,96,3,3.12,2.76 (0.97-4.55),93,96.88,3.63 (3.18-4.09)
oligodendrocytes 16,122.0,0.18,34.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.177,3.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,752.0,0.126,14.0,96,10,10.42,3.13 (2.49-3.76),86,89.58,3.31 (2.95-3.68)
oligodendrocytes 0,1186.0,0.173,89.0,300,7,2.33,3.63 (2.98-4.28),293,97.67,3.80 (3.59-4.01)
microglia 1,1615.0,0.12,65.0,161,39,24.22,1.86 (1.52-2.20),122,75.78,3.87 (3.59-4.14)
oligodendrocytes 3,639.0,0.111,62.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804.0,0.157,56.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
