tipo_celular,module_size,RPL31_MM,RPL31_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.239,50.0,98,29,29.59,2.59 (2.06-3.13),69,70.41,3.51 (2.88-4.14)
T cells 18,506.0,0.08,5.0,225,30,13.33,2.75 (2.21-3.30),195,86.67,3.75 (3.48-4.02)
astrocytes 5,328.0,0.128,30.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93)
oligodendrocyte progenitor cells 7,448.0,0.105,24.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487.0,0.249,63.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.28,67.0,302,15,4.97,3.31 (2.51-4.10),287,95.03,4.02 (3.79-4.25)
oligodendrocytes 20,295.0,0.058,11.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.274,61.0,455,35,7.69,2.13 (1.60-2.67),420,92.31,4.55 (4.37-4.73)
astrocytes 8,603.0,0.053,26.0,89,19,21.35,2.52 (1.89-3.16),70,78.65,2.85 (2.43-3.27)
oligodendrocyte progenitor cells 12,1049.0,0.197,84.0,235,18,7.66,3.36 (2.83-3.89),217,92.34,3.86 (3.61-4.10)
oligodendrocytes 10,483.0,0.217,74.0,129,14,10.85,3.77 (3.30-4.24),115,89.15,3.39 (2.95-3.82)
connective tissue cells 21,102.0,0.29,55.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,268.0,0.047,19.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,113.0,0.23,66.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,137.0,0.302,31.0,188,27,14.36,2.39 (1.85-2.92),161,85.64,4.81 (4.46-5.16)
astrocytes 4,1807.0,0.123,15.0,104,15,14.42,1.39 (1.00-1.78),89,85.58,3.13 (2.85-3.42)
oligodendrocytes 0,2078.0,0.072,2.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,406.0,0.238,59.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.067,13.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95)
oligodendrocytes 2,1630.0,0.114,8.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.25 (2.98-3.52)
